frame,relative_time_seconds,global_time_seconds,pulse,energy_norm
342,14.250000,20.250000,0.096448,0.800925
343,14.291667,20.291667,0.098310,0.834565
344,14.333333,20.333333,0.093225,0.772356
345,14.375000,20.375000,0.088350,0.726221
346,14.416667,20.416667,0.086852,0.728228
347,14.458333,20.458333,0.082915,0.699072
348,14.500000,20.500000,0.072719,0.619493
349,14.541667,20.541667,0.061861,0.460392
350,14.583333,20.583333,0.072049,0.603720
351,14.625000,20.625000,0.082417,0.725466
352,14.666667,20.666667,0.083595,0.629768
353,14.708333,20.708333,0.174160,0.725330
354,14.750000,20.750000,0.423855,0.955700
355,14.791667,20.791667,0.445449,0.970731
356,14.833333,20.833333,0.383562,0.887686
357,14.875000,20.875000,0.325434,0.745679
358,14.916667,20.916667,0.281990,0.696079
359,14.958333,20.958333,0.252267,0.729403
360,15.000000,21.000000,0.226662,0.735576
361,15.041667,21.041667,0.201018,0.714746
362,15.083333,21.083333,0.173970,0.620842
363,15.125000,21.125000,0.158508,0.585334
364,15.166667,21.166667,0.222799,0.770606
365,15.208333,21.208333,0.423020,0.977384
366,15.250000,21.250000,0.431827,0.970931
367,15.291667,21.291667,0.370405,0.877535
368,15.333333,21.333333,0.312025,0.712875
369,15.375000,21.375000,0.269500,0.656331
370,15.416667,21.416667,0.243087,0.707136
371,15.458333,21.458333,0.222163,0.750515
372,15.500000,21.500000,0.196391,0.745458
373,15.541667,21.541667,0.155233,0.509337
374,15.583333,21.583333,0.115651,0.274344
375,15.625000,21.625000,0.091538,0.207712
376,15.666667,21.666667,0.073237,0.146881
377,15.708333,21.708333,0.060909,0.073119
378,15.750000,21.750000,0.190837,0.237837
379,15.791667,21.791667,0.621640,0.666631
380,15.833333,21.833333,0.670342,0.801978
381,15.875000,21.875000,0.577616,0.768776
382,15.916667,21.916667,0.495494,0.721512
383,15.958333,21.958333,0.427891,0.704321
384,16.000000,22.000000,0.373097,0.695319
385,16.041667,22.041667,0.333972,0.740045
386,16.083333,22.083333,0.311088,0.907378
387,16.125000,22.125000,0.288096,0.997683
388,16.166667,22.166667,0.256538,0.949053
389,16.208333,22.208333,0.221630,0.835134
390,16.250000,22.250000,0.191899,0.735644
391,16.291667,22.291667,0.172073,0.720450
392,16.333333,22.333333,0.157128,0.707233
393,16.375000,22.375000,0.146303,0.708946
394,16.416667,22.416667,0.139673,0.745695
395,16.458333,22.458333,0.132945,0.752583
396,16.500000,22.500000,0.126248,0.754950
397,16.541667,22.541667,0.118862,0.744904
398,16.583333,22.583333,0.110097,0.701354
399,16.625000,22.625000,0.105341,0.683253
400,16.666667,22.666667,0.108439,0.758316
401,16.708333,22.708333,0.109695,0.810365
402,16.750000,22.750000,0.102938,0.740753
403,16.791667,22.791667,0.099049,0.734641
404,16.833333,22.833333,0.097454,0.739481
405,16.875000,22.875000,0.093383,0.733178
406,16.916667,22.916667,0.081300,0.628343
407,16.958333,22.958333,0.071545,0.503557
408,17.000000,23.000000,0.081892,0.647150
409,17.041667,23.041667,0.094683,0.779700
410,17.083333,23.083333,0.100007,0.789992
411,17.125000,23.125000,0.109879,0.895069
412,17.166667,23.166667,0.118484,0.991526
413,17.208333,23.208333,0.115319,0.961467
414,17.250000,23.250000,0.104153,0.841845
415,17.291667,23.291667,0.098058,0.794138
416,17.333333,23.333333,0.097899,0.812871
417,17.375000,23.375000,0.096663,0.796357
418,17.416667,23.416667,0.095128,0.787381
419,17.458333,23.458333,0.092684,0.771672
420,17.500000,23.500000,0.089605,0.729170
421,17.541667,23.541667,0.094151,0.758297
422,17.583333,23.583333,0.108093,0.911827
423,17.625000,23.625000,0.116236,0.985740
424,17.666667,23.666667,0.112715,0.949284
425,17.708333,23.708333,0.101222,0.844460
426,17.750000,23.750000,0.088947,0.723566
427,17.791667,23.791667,0.083933,0.691671
428,17.833333,23.833333,0.084584,0.695288
429,17.875000,23.875000,0.088461,0.745697
430,17.916667,23.916667,0.087960,0.743341
431,17.958333,23.958333,0.084416,0.678977
432,18.000000,24.000000,0.091804,0.746859
433,18.041667,24.041667,0.106620,0.912506
434,18.083333,24.083333,0.111464,0.942085
435,18.125000,24.125000,0.107228,0.895971
436,18.166667,24.166667,0.100587,0.834583
437,18.208333,24.208333,0.096196,0.791844
438,18.250000,24.250000,0.095698,0.802146
439,18.291667,24.291667,0.094396,0.785424
440,18.333333,24.333333,0.093002,0.774447
441,18.375000,24.375000,0.092140,0.765840
442,18.416667,24.416667,0.091964,0.767652
443,18.458333,24.458333,0.090778,0.761768
444,18.500000,24.500000,0.088369,0.726046
445,18.541667,24.541667,0.088935,0.747484
446,18.583333,24.583333,0.088165,0.733267
447,18.625000,24.625000,0.087278,0.726764
448,18.666667,24.666667,0.086971,0.723094
449,18.708333,24.708333,0.087544,0.728469
450,18.750000,24.750000,0.088300,0.739571
451,18.791667,24.791667,0.087468,0.729788
452,18.833333,24.833333,0.085880,0.714954
453,18.875000,24.875000,0.083762,0.704000
454,18.916667,24.916667,0.079626,0.659739
455,18.958333,24.958333,0.076127,0.636557
456,19.000000,25.000000,0.071411,0.601299
457,19.041667,25.041667,0.066590,0.531517
458,19.083333,25.083333,0.073042,0.591696
459,19.125000,25.125000,0.086668,0.746214
460,19.166667,25.166667,0.091645,0.767463
461,19.208333,25.208333,0.091678,0.767847
462,19.250000,25.250000,0.089605,0.746722
463,19.291667,25.291667,0.088283,0.725503
464,19.333333,25.333333,0.089944,0.760860
465,19.375000,25.375000,0.087976,0.733301
466,19.416667,25.416667,0.085838,0.704818
467,19.458333,25.458333,0.087848,0.734664
468,19.500000,25.500000,0.089122,0.750071
469,19.541667,25.541667,0.087946,0.724420
470,19.583333,25.583333,0.089515,0.745781
471,19.625000,25.625000,0.090226,0.768114
472,19.666667,25.666667,0.084384,0.700256
473,19.708333,25.708333,0.076583,0.648755
474,19.750000,25.750000,0.064969,0.538543
475,19.791667,25.791667,0.055696,0.444244
476,19.833333,25.833333,0.055871,0.460418
